publisher,genres,app_name,tags,discount_price,specs,price,early_access,id,developer,metascore,year
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : ENDURO MODE *Checkpoint Unlock*,"['Free to Play', 'Action', 'Indie', 'Casual', 'Racing', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",0.69,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",0.99,False,768850.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : ENDURO MODE *2 Millions of Miles*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",0.69,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",0.99,False,768851.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : ENDURO MODE *5 Millions of Miles*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",1.39,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",1.99,False,768852.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : RALLY MODE *5 Lifes*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",0.69,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",0.99,False,768853.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : RALLY MODE *10 Lifes*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",1.39,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",1.99,False,768854.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : TRIALS MODE *3 Lifes*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",0.69,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",0.99,False,768855.0,Bacq Stellan,,2017
OtakuMaker SARL,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",COLOR RETRO RACER : TRIALS MODE *6 Lifes*,"['Action', 'Indie', 'Casual', 'Racing', 'Free to Play', 'Singleplayer', 'Atmospheric', 'Arcade', '2D', 'Competitive', 'Minimalist', 'Retro']",1.39,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",1.99,False,768856.0,Bacq Stellan,,2017
Firedog Creative Company Limited,"['RPG', 'Simulation']",愛神餐館2,"['RPG', 'Simulation', 'Anime']",31.49,['Single-player'],34.99,False,769680.0,Firedog Creative Company Limited,,2017
Indie1Up,"['Action', 'Casual', 'Indie', 'Strategy', 'Early Access']",Daydream,"['Early Access', 'Action', 'Indie', 'Casual', 'Strategy']",3.74,['Single-player'],4.99,True,765240.0,Rohit Joshi,,2017
4SKY Game Studio,"['Action', 'Adventure', 'Casual', 'Indie']",Dark Snow,"['Indie', 'Adventure', 'Action', 'Casual']",8.99,"['Single-player', 'Steam Achievements', 'Steam Cloud']",9.99,False,656710.0,4SKY Game Studio,,2017
Shoho Games,"['Indie', 'Simulation']",Reading Simulator,"['Indie', 'Simulation', 'Education', 'Relaxing']",0.59,['Single-player'],0.99,False,769690.0,Shoho Games,,2017
Hell Tap Entertainment LTD,"['Casual', 'Indie']",Free Yourself - A Gravity Puzzle Game Starring YOU!,"['Casual', 'Indie']",3.59,['Single-player'],3.99,False,768820.0,Fire Tap Games,,2017
LuteGames,"['Casual', 'Indie']",Hex-Up,"['Indie', 'Casual', 'Puzzle', '2D', 'Great Soundtrack']",1.79,['Single-player'],2.99,False,765610.0,LuteGames,,2017
Valera Entertainment,"['Adventure', 'Indie']",Once in Yaissor 2,"['Indie', 'Adventure', 'Story Rich', 'Visual Novel']",1.69,['Single-player'],1.99,False,767500.0,Valera Entertainment,,2017
Ruaz.404,"['Action', 'Adventure', 'Indie']",The Darkness,"['Indie', 'Action', 'Adventure']",3.59,['Single-player'],3.99,False,765390.0,Ruaz.404,,2017
Dexion Games,"['Casual', 'Indie', 'Strategy']",Gravity puzzles,"['Indie', 'Casual', 'Strategy']",0.59,['Single-player'],0.99,False,771140.0,Dexion Games,,2017
Rock Path Collective,"['Action', 'Casual', 'Indie', 'RPG', 'Simulation']",MORE SWEATER? OK!,"['Casual', 'Action', 'Indie', 'RPG', 'Simulation', 'Singleplayer', 'Great Soundtrack', 'Difficult', 'Top-Down', 'Rogue-like', 'Arcade', 'Survival', 'Classic', 'PvE', 'Atmospheric', 'Procedural Generation', 'Funny', 'Music', 'Relaxing']",1.59,"['Single-player', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",1.99,False,746050.0,Triple-Star Studio,,2017
夕,"['Indie', 'RPG', 'Strategy', 'Early Access']",Magic Tower,"['Early Access', 'Strategy', 'Indie', 'RPG', 'Fantasy', 'Tower Defense']",0.69,"['Single-player', 'Steam Achievements', 'Steam Cloud']",0.99,True,727460.0,夕,,2017
Ynep,"['Adventure', 'Casual', 'Indie']",Scary House,"['Adventure', 'Indie', 'Casual', 'Horror']",4.24,"['Single-player', 'Steam Achievements']",4.99,False,768430.0,Ynep,,2017
Ben Lovegrove,"['Casual', 'Indie']",Last Hope,"['Indie', 'Casual']",1.69,['Single-player'],1.99,False,765620.0,Ben Lovegrove,,2017
Fire Engrave,['RPG'],BLACKSTONE,"['RPG', 'RPGMaker']",3.49,"['Single-player', 'Partial Controller Support']",4.99,False,735250.0,Fire Engrave,,2017
LoveTrooper Entertainment L.L.C.,"['Action', 'Adventure', 'Indie', 'Early Access']",Kitten Madness,"['Early Access', 'Action', 'Adventure', 'Indie']",6.29,"['Single-player', 'Steam Achievements']",6.99,True,748110.0,David Ogden,,2017
SyKoHPaTh,"['Action', 'Adventure', 'Indie', 'Early Access']",Super Bugman Extreme Ultra,"['Early Access', 'Action', 'Adventure', 'Indie']",7.49,"['Single-player', 'Partial Controller Support', 'Includes level editor']",9.99,True,756380.0,SyKoHPaTh,,2018
Corradi Games,['Casual'],Close the Window!,['Casual'],0.89,['Single-player'],0.99,False,773170.0,Corradi Games,,2017
Bytecrunch,"['Action', 'Casual', 'Indie', 'Sports']",Platform Golf,"['Action', 'Indie', 'Casual', 'Sports']",0.84,['Single-player'],0.99,False,775690.0,Patrick Hofmann,,2018
Independent,"['Action', 'Indie', 'Racing', 'Sports']",Witchball,"['Action', 'Indie', 'Racing', 'Sports']",4.24,"['Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Partial Controller Support']",4.99,False,768580.0,Stephen Lawrence Clark,,2018
DreamInCode B.V.,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",Mesozoica,"['Early Access', 'Simulation', 'Strategy', 'Casual', 'Indie', 'Action', 'Adventure', 'Dinosaurs']",25.49,['Single-player'],29.99,True,719590.0,"DreamInCode B.V.,Squadron Interactive",,2018
Sai Attack,"['Action', 'Indie']",Prison Bomber,"['Action', 'Indie']",3.19,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",3.99,False,772450.0,Sai Attack,,2018
Lunarhellgames,"['Action', 'Casual', 'Indie']",Boomer Rampage,"['Action', 'Casual', 'Indie']",0.89,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",0.99,False,770520.0,Lunarhellgames,,2018
Purpl3Grape,"['Action', 'Indie', 'Early Access']",TileDynasty FPS Arena,"['Early Access', 'Action', 'Indie', 'Arena Shooter']",4.68,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Partial Controller Support', 'Stats']",6.99,True,524350.0,Purpl3Grape,,2018
Enkian Games,"['Adventure', 'Indie', 'RPG']",Ender Story: Chapter 1,"['Adventure', 'RPG', 'Indie', 'RPGMaker']",0.69,"['Single-player', 'Full controller support']",0.99,False,760300.0,Enkian Games,,2018
Chadams Studios,"['Action', 'Indie', 'RPG', 'Simulation', 'Early Access']",BlockShip Wars: Roguelike,"['Early Access', 'Action', 'Indie', 'Simulation', 'RPG']",11.69,['Single-player'],12.99,True,763320.0,Chadams Studios,,2018
BJGameInd,['Indie'],NeoBalls,['Indie'],0.89,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",0.99,False,771610.0,BJGameInd,,2018
Phil Fortier,"['Adventure', 'Indie']",Snail Trek - Chapter 3: Lettuce Be,"['Adventure', 'Indie', 'Retro', 'Point & Click', 'Pixel Graphics', 'Puzzle', '2D', 'Space']",0.84,"['Single-player', 'Steam Achievements']",0.99,False,761480.0,Phil Fortier,,2018
INGAME,"['Indie', 'RPG']",Bravium,"['Indie', 'RPG', 'Puzzle', 'Tower Defense']",11.99,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']",14.99,False,747320.0,INGAME,,2018
Bidoniera Games,"['Action', 'Adventure', 'Casual', 'Indie']",Kebab it Up!,"['Action', 'Indie', 'Casual', 'Violent', 'Adventure']",1.69,"['Single-player', 'Steam Achievements', 'Steam Cloud']",1.99,False,745400.0,Bidoniera Games,,2018
Ghost_RUS Games,"['Casual', 'Indie', 'Simulation', 'Strategy']",Colony On Mars,"['Strategy', 'Indie', 'Casual', 'Simulation']",1.49,"['Single-player', 'Steam Achievements']",1.99,False,773640.0,"Nikita ""Ghost_RUS""",,2018
Sacada,"['Casual', 'Indie', 'Strategy']",LOGistICAL: South Africa,"['Strategy', 'Indie', 'Casual']",4.24,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",4.99,False,733530.0,Sacada,,2018
Laush Studio,"['Indie', 'Racing', 'Simulation']",Russian Roads,"['Indie', 'Simulation', 'Racing']",1.39,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",1.99,False,610660.0,Laush Dmitriy Sergeevich,,2018
